time,totalArrived,justArrived
0,0,0
5,0,0
10,0,0
15,0,0
20,0,0
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
65,0,0
70,0,0
75,0,0
80,0,0
85,0,0
90,0,0
95,0,0
100,0,0
105,0,0
110,0,0
115,0,0
120,0,0
125,0,0
130,0,0
135,0,0
140,0,0
145,0,0
150,0,0
155,0,0
160,0,0
165,0,0
170,0,0
175,0,0
180,0,0
185,0,0
190,0,0
195,0,0
200,0,0
205,0,0
210,0,0
215,0,0
220,0,0
225,0,0
230,0,0
235,0,0
240,0,0
245,0,0
250,0,0
255,0,0
260,0,0
265,0,0
270,0,0
275,0,0
280,0,0
285,0,0
290,0,0
295,0,0
300,0,0
305,0,0
310,0,0
315,0,0
320,0,0
325,0,0
330,0,0
335,0,0
340,0,0
345,0,0
350,0,0
355,0,0
360,0,0
365,0,0
370,0,0
375,0,0
380,0,0
385,0,0
390,0,0
395,0,0
400,0,0
405,0,0
410,0,0
415,0,0
420,0,0
425,0,0
430,0,0
435,0,0
440,0,0
445,0,0
450,0,0
455,0,0
460,0,0
465,0,0
470,0,0
475,0,0
480,0,0
485,0,0
490,0,0
495,0,0
500,0,0
505,0,0
510,0,0
515,0,0
520,0,0
525,0,0
530,0,0
535,0,0
540,0,0
545,0,0
550,0,0
555,0,0
560,0,0
565,0,0
570,0,0
575,0,0
580,0,0
585,0,0
590,0,0
595,0,0
600,0,0
605,0,0
610,0,0
615,0,0
620,0,0
625,0,0
630,0,0
635,0,0
640,0,0
645,0,0
650,0,0
655,0,0
660,0,0
665,0,0
670,0,0
675,0,0
680,0,0
685,0,0
690,0,0
695,0,0
700,0,0
705,0,0
710,0,0
715,0,0
720,0,0
725,0,0
730,0,0
735,0,0
740,0,0
745,0,0
750,0,0
755,0,0
760,0,0
765,0,0
770,0,0
775,0,0
780,0,0
785,0,0
790,0,0
795,0,0
800,0,0
805,0,0
810,0,0
815,0,0
820,0,0
825,0,0
830,0,0
835,0,0
840,0,0
845,0,0
850,0,0
855,0,0
860,0,0
865,0,0
870,0,0
875,0,0
880,0,0
885,0,0
890,0,0
895,0,0
900,0,0
905,0,0
910,0,0
915,0,0
920,0,0
925,0,0
930,0,0
935,0,0
940,0,0
945,0,0
950,0,0
955,0,0
960,0,0
965,0,0
970,0,0
975,0,0
980,0,0
985,0,0
990,0,0
995,0,0
1000,0,0
1005,0,0
1010,0,0
1015,0,0
1020,0,0
1025,0,0
1030,0,0
1035,0,0
1040,0,0
1045,0,0
1050,0,0
1055,0,0
1060,0,0
1065,0,0
1070,0,0
1075,0,0
1080,0,0
1085,0,0
1090,0,0
1095,0,0
1100,0,0
1105,0,0
1110,0,0
1115,0,0
1120,1,1
1125,1,0
1130,1,0
1135,6,5
1140,10,4
1145,22,12
1150,27,5
1155,35,8
1160,64,29
1165,90,26
1170,123,33
1175,172,49
1180,236,64
1185,349,113
1190,451,102
1195,634,183
1200,870,236
1205,1197,327
1210,1558,361
1215,2039,481
1220,2601,562
1225,3348,747
1230,4148,800
1235,5102,954
1240,6354,1252
1245,7763,1409
1250,9277,1514
1255,11023,1746
1260,13098,2075
1265,15367,2269
1270,17739,2372
1275,20466,2727
1280,23359,2893
1285,26556,3197
1290,29480,2924
1295,32852,3372
1300,36426,3574
1305,40397,3971
1310,43911,3514
1315,47709,3798
1320,51580,3871
1325,55498,3918
1330,58847,3349
1335,62449,3602
1340,66077,3628
1345,69396,3319
1350,72344,2948
1355,75395,3051
1360,78287,2892
1365,80978,2691
1370,83185,2207
1375,85311,2126
1380,87485,2174
1385,89285,1800
1390,90741,1456
1395,92113,1372
1400,93442,1329
1405,94559,1117
1410,95397,838
1415,96168,771
1420,96836,668
1425,97424,588
1430,97879,455
1435,98285,406
1440,98649,364
1445,98922,273
1450,99136,214
1455,99322,186
1460,99483,161
1465,99613,130
1470,99705,92
1475,99765,60
1480,99830,65
1485,99875,45
1490,99895,20
1495,99925,30
1500,99946,21
1505,99957,11
1510,99963,6
1515,99970,7
1520,99981,11
1525,99989,8
1530,99992,3
1535,99994,2
1540,99997,3
1545,99998,1
1550,99999,1
1555,100000,1
